referencia;designacao;localizacao
217252;ELEM.FECHO BASC.150Z ALU;CX8
217256;ELEM.FECHO BASC.150Z ALU;
217269;CARRO SECUNDARIO OP Z ALU ESQº;
217270;CARRO PRINCIPAL OP Z ALU DTº;
217271;CARRO PRINCIPAL OP Z ALU ESQº;
217427;CARTAO BASE AUTOMATICO OP Z ALU DTº;
217428;CARTAO BASE AUTOMATICO OP Z ALU ESQº;
217462;COMPASSO 901-1200 NT;
217464;COMPASSO 1201-1650 NT;
217789;COLA BRANCA P/PVC FENOPLAST KF - 200 GR;F4P2
217791;COLA TRANSPARENTE P/PVC FENOPLAST KF - 200 GR;F4P2
218679;PERFIL DE REMATE PARA SOLEIRA ELEVAVEL 2000 MM;
218682;PERFIL DE REMATE PARA SOLEIRA ELEVAVEL 3500 MM;
218685;PERFIL DE REMATE PARA SOLEIRA ELEVAVEL 6500 MM;
2191G;ROLLAN 40/70 - GUIA DE PAVIMENTO;
2198SFS;DOB.170/15 FEMEA RAL 9010 BR.;
2206425607;PARAFUSO PVC ATS 4,8X25;
2206430607;PARAFUSO PVC ATS 4,8X35;
2206438607;PARAFUSO PVC ATS 4,8X38;
2211125607;PARAFUSO P/FERRAGEM JANELAS MADEIRA 4,0 X 25;
2211130607;PARAFUSO P/FERRAGEM JANELAS MADEIRA 4,0 X 30;
2211135607;PARAFUSO P/FERRAGEM JANELAS MADEIRA 4,0 X 35;
2211225608;PARAFUSO MADEIRA 4,0 X 25 SUPER JOT;A2.B.7.2
2211230608;PARAFUSO MADEIRA 4,0 X 30 SUPER JOT;
2211235608;PARAFUSO MADEIRA 4,0 X 35 SUPER JOT;A2.B.7.2
2211240608;PARAFUSO MADEIRA 4,0 X 40 SUPER JOT;
2211245608;PARAFUSO MADEIRA 4,0 X 45 SUPER JOT;
2211250608;PARAFUSO MADEIRA 4,0 X 50 SUPER JOT;
22130SFS;DOBRADIÇA 170/15 MACHO CAST.;
22135SFS;DOBRADIÇA 170/15 MACHO CAST.;CILINDROS P4
2223420607;PARAFUSO PVC  4,2 X 20;A2.B7P2
2223425601;PARAFUSO PVC S 4,2 X 25;
2223430601;PARAFUSO PVC S 4,2 X 30;
2223435601;PARAFUSO PVC S 4,2 X 35;
2223455601;PARAFUSO PVC S 4,2 X 55;
2223465601;PARAFUSO PVC SUPER E 4,2 X 65;A2.B.7.3
222540;ACESS P/TRINCO REDONDO FECHADURA VAI-VEM - PVC;F3P4
222541;ACESS P/TRINCO REDONDO FECHADURA VAI-VEM - ALU;ESTANTE 2
222543;ACESS P/TRINCO REDONDO FECHADURA VAI-VEM - MAD/ALU;F3P4
222546;ACESSORIO PARA CHAPA TESTAS;
2225465601;"PARAFUSO PVC ""S"" 4,2 X 65";A2.B.7.2
2228422607;PARAFUSO JANELA DSK 4,2X22;
2228425601;PARAFUSO JANELA DSK 4,2X25;
2228425607;PARAFUSO JANELA DSK 4,2X25;A2.B.7.2
2228430607;PARAFUSO JANELA DSK 4,2X30;
2228435607;PARAFUSO JANELA DSK 4,2X35;
2228440607;PARAFUSO JANELA DSK 4,2X40;
2228445607;PARAFUSO JANELA DSK 4,2X45;
2231060601;PARAFUSO 7.5X60 PARA FIXAÇAO AROS;A2.B.7.2
2231080601;PARAFUSO 7.5X80 PARA FIXAÇAO AROS;A2.B.7.3
2231100601;PARAFUSO 7.5X100 PARA FIXAÇAO AROS;A2.B.7.2
2231120601;PARAFUSO 7.5X120 PARA FIXAÇAO AROS;A2.B.7.3
2231150601;PARAFUSO 7.5X150 PARA FIXAÇAO AROS;A2.B.7.2
223209;CHAPA TESTAS PICO LORO THYSSEN AD;
223344;CHAVE AFINAR CANTOS;
223666;CHAVE AFINAÇAO PLASTICA PARA DOBRADIÇA PORTA;CX8
223670;BITOLA DOBRADIÇA PORTA HTB 90;CACIFOP1
223676;BITOLA DOBRADIÇA PORTA HTB 108;
224071;DOBRADIÇA ARO PARA PORTADA 200 M12 125MM BRANCO;A2 CX11
224073;DOBRADIÇA ARO PARA PORTADA 200 M12 150MM BRANCO;CX8
224079;DOBRADIÇA ARO PARA PORTADA 200 F/M BRANCO;CS16P4
224083;DOBRADIÇA ARO PARA PORTADA C/ROSCA 80 200 F/M BRANCO;CS15P4
224084;CALÇO PARA DOBRADIÇA ARO PORTADAS 200 F 3MM BRANCO;CX8
224086;DOBRADIÇA FOLHA PARA PORTADAS M2 (2,5/45) BRANCA;
224094;DOBRADIÇA FOLHA PARA PORTADAS M3 (20/45) BRANCA;
224100;DOBRADIÇA FOLHA PARA PORTADAS M4 (37/45) BRANCA;
224123;DOBRADIÇA FOLHA PARA PORTADA M9(20/16)F.200M BRANCA;
224131;DOBRADIÇA FOLHA PARA PORTADAS M11 (47/16) BRANCA;
224143;DOBRADIÇA FOLHA PARA PORTADAS F1 (2.5/16) BRANCA;
224149;DOBRADIÇA FOLHA PARA PORTADAS F2 (2.5/16) BRANCA;
224155;DOBRADIÇA FOLHA PARA PORTADAS F3 (12/16) BRANCA;
224163;DOBRADIÇA FOLHA PARA PORTADAS F4 (17.5/16) BRANCA;A3.OB1
224169;DOB.FOLHA P/ PORTADAS C/ PLACA INTERM. F5 (12/16) BRANCA;
224171;DOB.FOLHA P/ PORTADAS C/ ESQUADRO F5 (12/16) BRANCA;
224173;DOB.FOLHA P/ PORTADAS C/ PLACA INTERM. F6 (17.5/16) BRANCA;
224194;DOBRADIÇA ARO (OBRA) PARA PORTADA T97 (97-112) BRANCA;
224209;FECHO PARA PORTADAS BRANCO;
224211;FECHO CENTRAL PARA PORTADAS 110 RETO BRANCO;
224215;VARAO PARA PORTADAS 1500 BRANCO;ES8P2
224217;VARAO PARA PORTADAS 2400 BRANCO;ES8P2
224219;FECHO CENTRAL PARA PORTADAS 1 FOLHA 80 RETO BRANCO;
224225;FECHO PARA PORTADAS DE FOLHAS MULTIPLAS BRANCO;
224231;FECHO PORTADAS RETO BRANCO;
224233;FECHO PORTADAS INCLINADO 15º BRANCO;CS16P4
224244;DESLIZADOR PORTADAS BRANCO;
224248;PARAFUSO PORTADAS 4.5 X 30 BRANCO;CS15P4
224250;PARAFUSO PORTADAS 4.5 X 35 BRANCO;CS6P2
224251;PARAFUSO PORTADAS 4.5 X 45 BRANCO;CS15P4
224253;ELEMENTO FECHO PORTADA M BRANCO;CS15P4
224286;FECHO PORTADAS BRANCO;
224288;DESLIZADOR PORTADAS CURTO BRANCO;
224305;TOPO PARA PORTADAS 25 BRANCO;A3.OB1
224307;VARAO PARA PORTADAS 1800 BRANCO;
224319;CALÇO PARA CARRO ELEVAVEL ANICOLOR CW;A2.B.5.3
224371;DOBRADIÇA FOLHA/FOLHA RETA PORTADAS 19 BRANCA;
224375;DOBRADIÇA FOLHA/FOLHA RETA PORTADAS 28 BRANCA;
224387;DOB.FOLHA P/ PORT. C/ PLACA INTERM. F1 (91-121/43-58) BRANCA;
224414;DOBRADIÇA FOLHA PARA PORTADAS (43-59/19-27) BRANCA;
224433;DOBRADIÇA FOLHA PARA PORTADAS (91-121/43-58) BRANCA;
224437;DOBRADIÇA FOLHA PARA PORTADAS (73-89/34-42) BRANCA;
224439;DOBRADIÇA FOLHA PARA PORTADAS 1 (91-121/43-58) BRANCA;
224441;DOBRADIÇA FOLHA PARA PORTADAS 2 (123-165/59-80) BRANCA;CX4
224443;DOBRADIÇA FOLHA PARA PORTADAS 3 (167-215/81-106) BRANCA;
224457;DOBRADIÇA FOLHA PARA PORTADAS G1 (85/55) BRANCA;
224459;DOBRADIÇA FOLHA PARA PORTADAS G2 (95-110/60-68) BRANCA;
224467;DOBRADIÇA FOLHA PARA PORTADAS G0 (29-41/27-33) BRANCA;
224483;FECHO PORTADAS DISTANCIADOR 10 BRANCO;
224488;FECHO PORTADAS COM PONTEIRA ESQº BRANCO;
224489;FECHO PORTADAS COM PONTEIRA DTº BRANCO;
224491;FECHO PORTADAS DESCENTRADO BRANCO;
224493;FIXADOR PORTADA 20-40 BRANCO;
224495;FIXADOR PORTADA 40-60 BRANCO;
224497;FIXADOR PORTADA 80-100 BRANCO;
224499;FIXADOR PORTADA 100-130 BRANCO;CS16P4
224502;FIXADOR PORTADA W 20-40 BRANCO;
224508;FIXADOR PORTADAS BRANCO;
224539;FIXADOR PORTADA C/FIGURA FIGURA 20-60 BRANCO;
224541;FIXADOR PORTADA C/FIGURA FIGURA 50-90 BRANCO;
224545;FIXADOR PORTADA C/FIGURA FIGURA 20-60 BRANCO;
224547;FIXADOR PORTADA C/FIGURA FIGURA 50-90 BRANCO;
224560;FIXADOR PORTADAS INTEGRADO NA DOBRADIÇA ESQº BRANCO;
224561;FIXADOR PORTADAS INTEGRADO NA DOBRADIÇA DTº BRANCO;DS4P5
224576;DOBRADIÇA PORTADA FOLHA/FOLHA 95/95/8 BRANCA;
224606;CASQUILHO PORTADA DESCENTRADO 1,5 BRANCO;CS16P4
224607;CASQUILHO PORTADA DESCENTRADO 3.0 BRANCO;CS16P4
224609;ESQUADRO P/PORTADAS 220X220(PAR) BRANCO;CS16P4
224611;ESQUADRO P/PORTADAS 220X220 BRANCO;
224613;PLACA INTERMEDIA P/PORTADAS BRANCO;CS16P4
224617;PLACA RETA PORTADAS 320 BRANCA;
224619;PLACA RETA PORTADAS 245 BRANCA;
224634;GUIA P/VARAO DE PORTADA BRANCO;A2 CX9
224636;BASE PARA FIXADOR PORTADAS BRANCO;
224652;TOPO P/PLACA DE FECHO DE 4MM - BRANCA;
224736;DOBRADIÇA PORTA HTB 90 16,5-19 / 31 CASTANHA;CXA1
224738;DOBRADIÇA PORTA HTB 90 16,5-19 / 31 BRANCA;CXA1
224748;PIN DE REFORÇO 8X28 AÇO INOX DOORLINE;
224751;CALÇO PLASTICO 1,5 P/ DOBRADIÇA PORTA HTB108 PRETO;
224752;CALÇO PLASTICO 1,5 P/ DOBRADIÇA PORTA HTB108 BRANCO;
224753;CALÇO PLASTICO 1,5 P/ DOBRADIÇA PORTA HTB BRANCO;CX 9
224754;CALÇO PLASTICO 1,5 P/ DOBRADIÇA PORTA HTB PRETO;PAL 1
224755;TAMPA PLASTICA PARA DOBRADIÇA HTB 108 BRANCA;
224788;DOBRADIÇA PORTA HTB 108 16,5-19 / 48 CASTANHA;
224790;DOBRADIÇA PORTA HTB 108 16,5-19 / 48 BRANCA;
224815;CALÇO PARA DOBRADIÇA ARO PORTADAS 200 F 3MM PRETO;A3.OB1
224817;CALÇO PARA DOBRADIÇA ARO PORTADAS 200 F 5MM PRETO;
224948;BUCHA 100MM D 6MM PARA PORTADAS;CS6P2
224949;BUCHA 135MM D 6MM PARA PORTADAS;
225018;PARAFUSO PORTADAS 4.5 X 30 PRETO;CS15P4
225026;PARAFUSO PORTADAS 4.5 X 35 PRETO;CS6P2
225030;PARAFUSO PORTADAS 4.5 X 45 PRETO;CX3 + JUNTO RADIO
225096;TOPO PARA PORTADAS 20 PRETO;
225098;MANIVELA PARA PORTADAS 350 PRETO;
225099;MANIVELA PARA PORTADAS 500 PRETO;
225100;MANIVELA PARA PORTADAS 650 PRETO;
225102;COMANDO ELETRICO PARA PORTADAS;
225105;TOPO PARA PORTADAS 25 PRETO;
2251425601;PARAFUSO PVC 4,2 X 25 SUPER E;
2251455607;PARAFUSO PVC SUPER E 4,2 X 55;
225152;CONJUNTO ACESS.LATERAIS P/ SOLEIRA ELEV. GEALAN S 8000 ESQ A;
225155;CONJUNTO ACESS.LATERAIS P/ SOLEIRA ELEV. GEALAN S 8000 ESQ C;
225158;CONJUNTO ACESS.SOBREP. P/ SOLEIRA ELEV. GEALAN S 8000 ESQ A;
225161;CONJUNTO ACESS.SOBREP. P/ SOLEIRA ELEV. GEALAN S 8000 ESQ C;
225328;CASQUILHO EMBUTIR EM OBRA PARA PORTADAS;CS8P4
225331;FECHO PORTADAS COM PONTEIRA ESQº PRETO;CX7
225332;FECHO PORTADAS COM PONTEIRA DTº PRETO;CX7
2253416607;PARAFUSO PVC 4,2 X 16 SUPER E;
2253420607;PARAFUSO PVC 4,2 X 20 SUPER E;
2253422607;PARAFUSO PVC 4,2 X 22 SUPER E;
2253425607;PARAFUSO PVC 4,2 X 25 SUPER E;A2 B. 7.2
2253428607;PARAFUSO PVC 4,2 X 28 SUPER E;
2253430607;PARAFUSO PVC 4,2 X 30 SUPER E;A2.B7P2
2253435607;PARAFUSO PVC 4,2 X 35 SUPER E;A2 B 7.2
2253440607;PARAFUSO PVC 4,2 X 40 SUPER E;
2253445607;PARAFUSO PVC 4,2 X 45 SUPER E;A2.B.7.2
2253455607;PARAFUSO PVC 4,2 X 55 SUPER E;
225443;CASQUILHO ROSCA M5 PRETO;
225449;PARAFUSO  M5X37 PRETO;
225455;PARAFUSO  M5X52 PRETO;
225461;CASQUILHO PORTADA CENTRADO;F1P3
225462;CASQUILHO PORTADA DESCENTRADO 1,5 PRETO;
225463;CASQUILHO PORTADA DESCENTRADO 3.0 PRETO;F1P3
225487;BATENTE PARA DESLIZADOR PRETO;
225493;GUIA P/VARAO DE PORTADA PRETO;CS15P4
225494;BASE PARA TOPO DE PORTADAS PRETO;
225496;BASE PARA FIXADOR PORTADAS PRETO;A2 CX13
225496H;CONJ.PARAFUSOS P/FIXAR MANETE INT. PORTA;DS5P1
225509;SUPLEMENTO PLASTICO PARA PORTADAS 2MM PRETO;CX7
225510;SUPLEMENTO PLASTICO PARA PORTADAS 9MM PRETO;
225515;TOPO P/PLACA DE FECHO  - PRETO;CX7
225663;FECHO CENTRAL DOORLINE;
22718G;VARAO FLEXIVEL PARA OL 90 750MM BRANCO;
22720G;VARAO FLEXIVEL PARA OL 90 1000MM BRANCO;CS6P1
22721G;VARAO FLEXIVEL PARA OL 90 1250MM BRANCO E PRATA;CS6P1
227354;FIEL PARA SUPORTE DE COMPASSO NT;DS2P4
227779;MANETE ROTOLINE  BRANCA C/LOGO CLIENTE;S/ STOCK
227801;MANETE ROTOLINE LATAO MACIÇO;DS5P3
227996;MANETE ROTOLINE 35MM TITAN;
228000;MANETE ROTOLINE 35MM CASTANHO;
228002;MANETE ROTOLINE 35MM BRANCA;
228010;ROSETA PARA MANETE ROTOLINE AMOVIVEL TITAN;
228012;ROSETA PARA MANETE ROTOLINE AMOVIVEL CASTANHA;CS14P5
228013;ROSETA PARA MANETE ROTOLINE AMOVIVEL BRANCA;CS14P4
228014;MANETE ROTOLINE AMOVIVEL BRANCA;
228040;MANETE ROTOLINE COM CHAVE 35MM TITAN;CS16P2
228042;MANETE ROTOLINE COM CHAVE 35MM CASTANHA;CS16P2
228043;MANETE ROTOLINE COM CHAVE 35MM BRANCA;
228044;MANETE ROTOLINE COM CHAVE 35MM BRANCA;CS16P2
228079;MANETE ROTOLINE 30MM PRATA;
228083;MANETE ROTOLINE 30MM DOURADA;
228090;MANETE ROTOLINE 35MM PRATA;DS5P3
228092;MANETE ROTOLINE 35MM CHAMPANHE;CX8
228094;MANETE ROTOLINE 35MM DOURADA;
228096;MANETE ROTOLINE 35MM BRONZE;
228100;ROSETA PARA MANETE ROTOLINE AMOVIVEL PRATA;CS14P5
228102;ROSETA PARA MANETE ROTOLINE AMOVIVEL DOURADA;
228103;ROSETA PARA MANETE ROTOLINE AMOVIVEL BRONZE;CS16P3
228130;MANETE ROTOLINE COM CHAVE 35MM PRATA;CS16P2
228132;MANETE ROTOLINE COM CHAVE 35MM DOURADA;CS16P2
228133;MANETE ROTOLINE COM CHAVE 35MM BRONZE;A3.OB1
228142;MANETE ROTOLINE COM BOTAO DOURADA;
228176;MANETE ROTOLINE 30MM BRANCA;CS16P2
228233;MANETE ROTOLINE DUAS CARAS TITAN;
228258;CONCHA/PUXADOR EXTERIOR PARA JANELA CASTANHO;CS14P5
228259;CONCHA/PUXADOR EXTERIOR PARA JANELA BRANCO;CS14P4
228333;MANETE ROTOLINE DUAS CARAS TITAN;CS16P2
228335;MANETE ROTOLINE DUAS CARAS CASTANHA;CS16P3
228336;MANETE ROTOLINE DUAS CARAS BRANCA;CS16P2
228337;MANETE ROTOLINE DUAS CARAS BRANCA;CS16P2
228341;MANETE ROTOLINE DUAS CARAS CASTANHA;
228343;MANETE ROTOLINE DUAS CARAS BRANCA;
228345;MANETE ROTOLINE DUAS CARAS REBAIXADA TITAN;CS16P3
228347;MANETE ROTOLINE DUAS CARAS REBAIXADA CASTANHA;A2 CX12
228348;MANETE ROTOLINE DUAS CARAS REBAIXADA BRANCA;
228349;MANETE ROTOLINE DUAS CARAS REBAIXADA BRANCA;CS16P2
228355;MANETE ROTOLINE DUAS CARAS REBAIXADA BRANCA;
228380;MANETE ROTOLINE DUAS CARAS PRATA;CS16P2
228382;MANETE ROTOLINE DUAS CARAS DOURADA;
228383;MANETE ROTOLINE DUAS CARAS BRONZE;A3.OB1
228387;MANETE ROTOLINE DUAS CARAS DOURADA;
228390;MANETE ROTOLINE DUAS CARAS REBAIXADA PRATA;CS16P3
228392;MANETE ROTOLINE DUAS CARAS REBAIXADA DOURADA;
228393;MANETE ROTOLINE DUAS CARAS REBAIXADA BRONZE;A2 CX12
2284684H;MANETE ATLANTA 35MM BRANCA;
228799;ELEM.FECHO BASC.ARO;DS4P1
228877;ELEM.FECHO BASC.ARO NT;DS4P1
228892;SUPLEMENTO PLASTICO ARO;
2289122602;PARAFUSO 4X13 P/CLIPAR ESTORES PVC;A2.B.8.2
228930;CALHA DE FECHO PARA CANAL LISO (18MM);
229014;ELEMENTO FECHO LATERAL NT;DS4P1
229101;REFORÇO TRAVESSA ALUPLAST 4000 35X20X1.5;
229114;REFORÇO FOLHA DE PORTA ALUPLAST 4000 35X40X1.5;
22932G;PINO / CAVILHA DE APERTO PARA VARAO OL 90;
230149;CHAVE PARA SEG.ANTI A.NORMAL BRANCA;CX 4
230150;CHAVE PARA SEG.ANTI A.NORMAL CASTANHA;CX8
230152;SEGURANÇA ANTI-ABERTURA NORMAL CASTANHO;CX8
230153;SEGURANÇA ANTI-ABERTURA NORMAL BRANCO;
230155;SUPL.PLASTICO P/SEGUR.ANTI-ABERT.NORMAL FOLHA BR.;S/ STOCK
230156;SUPL.PLASTICO P/SEGUR.ANTI-ABERT.NORMAL ARO BR.;DS4P4
230157;SEGURANÇA ANTI-ABERTURA NORMAL BRANCO;S/ STOCK
230158;SUPL.PLASTICO P/SEGUR.ANTI-ABERT.NORMAL FOLHA CAST.;CX8
230159;SUPL.PLASTICO P/SEGUR.ANTI-ABERT.NORMAL ARO CAST.;CX8
230160;SEGURANÇA ANTI-ABERTURA NORMAL CASTANHO;CX8
230166;LIMITADOR ABERTURA P/MANETE - CASTANHO;CS4P3
230167;LIMITADOR ABERTURA P/MANETE - BRANCO;CS4P4
230176;SUPORTE COMPASSO NT 6/130 BRANCO;
230177;SUPORTE COMPASSO NT 3/100;DS6P2
230178;SUPORTE COMPASSO NT 6/130;F3P5
230179;SUPORTE COMPASSO NT 6/130 ESQ.;A2 CX11
230180;SUPORTE COMPASSO NT 6/130 DTº;CS9P3
230184;SUPORTE DE COMPASSO NT E5 - BRANCO;
230187;SUPORTE DE COMPASSO NT E5;CS2P3
230195;CAPA PARA SUPORTE DE COMPASSO PRATA;CS14P6
230196;CAPA PARA SUPORTE DE COMPASSO PRATA;
230198;CAPA PARA SUPORTE COMPASSO DOURADA;A2.B. 4.3
230200;CAPA PARA SUPORTE DE COMPASSO CASTANHO;A2.B. 4.3
230202;CAPA PARA SUPORTE DE COMPASSO BRONZE;CS14P3
230203;CAPA PARA SUPORTE DE COMPASSO BRONZE;
230204;CAPA PARA SUPORTE DE COMPASSO CASTANHO;
230205;CAPA PARA SUPORTE DE COMPASSO BRANCA;CS14P3
230211;CAPA PARA SUPORTE DE COMPASSO 6/130 ESQº PRATA;
230221;CAPA PARA SUPORTE DE COMPASSO 6/130 ESQº CASTANHO;CX3
230222;CAPA PARA SUPORTE DE COMPASSO 6/130 DTº CASTANHO;CX3
230231;CAPA PARA SUPORTE DE COMPASSO 6/130 ESQº BRANCA;CX4
230232;CAPA PARA SUPORTE DE COMPASSO 6/130 DTª BRANCA;CX3
230243;CAPA PARA COMPASSO PRATA;CS14P3
230244;CAPA PARA COMPASSO CHAMPANHE;DS5P5
230245;CAPA PARA COMPASSO DOURADO;A2.B. 4.3
230247;CAPA PARA COMPASSO CASTANHO;CS14P2
230249;CAPA PARA COMPASSO BRONZE;CS14P3
230251;CAPA PARA COMPASSO CASTANHO;
230252;CAPA PARA COMPASSO BRANCA;CS13P2
230259;CAPA PARA SUPORTE DE COMPASSO E5 PRATA;CS14P6
230262;CAPA PARA SUPORTE DE COMPASSO E5 DOURADA;A2.B. 4.3
230264;CAPA PARA SUPORTE DE COMPASSO E5 CASTANHA;CS14P4
230266;CAPA PARA SUPORTE DE COMPASSO E5 BRONZE;CS13P4
230268;CAPA PARA SUPORTE DE COMPASSO E5 BRANCA;CS6P1
230274;CAPA PARA COMPASSO E5 PRATA;CS14P6
230277;CAPA PARA COMPASSO E5 DOURADA;A2.B. 4.3
230279;CAPA PARA COMPASSO  E5  CASTANHA;CS14P3
230281;CAPA PARA COMPASSO E5 BRONZE;CS13P4
230291;CAPA PARA SUPORTE DE COMPASSO REDONDO E5 DOURADA;CX8
230298;CAPA PARA SUPORTE DE COMPASSO E5 REDONDO BRANCO;
230304;CAPA PARA SUPORTE DE COMPASSO REDONDO PRATA;CS14P6
230306;CAPA PARA SUPORTE DE COMPASSO REDONDO TITAN;
230307;CAPA PARA SUPORTE DE COMPASSO REDONDO DOURADA;
230309;CAPA PARA SUPORTE DE COMPASSO REDONDO CASTANHA;CX7
230311;CAPA PARA SUPORTE DE COMPASSO REDONDO BRONZE;
230313;CAPA PARA SUPORTE DE COMPASSO REDONDO CASTANHA;
230314;CAPA PARA SUPORTE DE COMPASSO REDONDO BRANCA;
230320;CAPA PARA SUPORTE DE COMPASSO A PRATA;CS14P6
230321;CAPA PARA SUPORTE DE COMPASSO A CHAMPANHE;A2 CX15
230323;CAPA PARA SUPORTE DE COMPASSO A DOURADA;
230325;CAPA PARA SUPORTE DE COMPASSO A CASTANHO;
230327;CAPA PARA SUPORTE DE COMPASSO A BRONZE;CX3
230330;CAPA SUPORTE COMPASSO ROTO A 12/18/9 BRANCA;CS13P1
230342;DOBRADIÇA INFERIOR FOLHA NX 6/150 - BRANCA;
230343;DOBRADIÇA INF. FOLHA NT 3/100;DS6P5
230354;DOBRADIÇA INF. ARO NT ESQ. 6/130;A2 CX12
230355;DOBRADIÇA INF. ARO NT DTº  6/130;CX3
230362;DOB.INFERIOR FOLHA PARA JANELA REDONDA NT ESQª;
230363;DOB.INFERIOR FOLHA PARA JANELA REDONDA NT DTª;
230398;DOBRADIÇA INF.ARO NT E5 ESQª;
230399;DOBRADIÇA INF.ARO NT E5 DTª;
230410;DOBRADIÇA INFEIROR DO ARO A;
230416;CAPA DOBRADIÇA INFERIOR ARO PRATA;CS14P6
230419;CAPA DOBRADIÇA INFERIOR ARO DOURADA;A2.B. 4.3
230420;CAPA DOBRADIÇA INFERIOR ARO DOURADA;
230421;CAPA PARA DOBRADIÇA INFERIOR ARO CASTANHA;A2.B. 4.3
230423;CAPA DOBRADIÇA INFERIOR ARO BRONZE;CS14P3
230425;CAPA PARA DOBRADIÇA INFERIOR ARO CASTANHA;
230426;CAPA PARA DOBRADIÇA INFERIOR ARO BRANCA;CS14P3
230449;CAPA PARA DOBRADIÇA INF. ARO NT ESQ. 6/130 PRATA;
230459;CAPA PARA DOBRADIÇA INF. ARO NT ESQ. 6/130 CASTANHA;CX3
230460;CAPA PARA DOBRADIÇA INF. ARO NT DTª 6/130 CASTANHA;CX7
230469;CAPA PARA DOBRADIÇA INF. ARO NT ESQ. 6/130 BRANCA;CX8
230470;CAPA PARA DOBRADIÇA INF. ARO NT DTª 6/130 BRANCA;CX7
230481;CAPA PARA DOBRADIÇA INFERIOR FOLHA PRATA;CS14P6
230484;CAPA PARA DOBRADIÇA INFERIOR FOLHA DOURADA;A2.B. 4.3
230486;CAPA PARA DOBRADIÇA INFERIOR FOLHA CASTANHA;A2.B. 4.3
230488;CAPA PARA DOBRADIÇA INFERIOR FOLHA BRONZE;CS14P3
230491;CAPA PARA DOBRADIÇA INFERIOR FOLHA BRANCA;CS14P3
230535;CAPA PARA DOB.FOLHA E5 ESQª  DOURADA;
230536;CAPA PARA DOB.FOLHA E5 DTª  DOURADA;
230539;CAPA PARA DOB.FOLHA E5 ESQª  CASTANHA;
230540;CAPA PARA DOB.FOLHA E5 DTª CASTANHA;
230543;CAPA PARA DOB.FOLHA E5 ESQª  BRONZE;
230544;CAPA PARA DOB.FOLHA E5 ESQª  BRONZE;
230547;CAPA PARA DOB.FOLHA E5 ESQª  BRANCA;
230548;CAPA PARA DOB.FOLHA E5 DTª BRANCA;
230582;BASE PARA FALSO COMPASSO NT;
230620;DOBRADIÇA INTERMEDIA PARA CANAL LISO E5 NT;DS6P5
230639;FALSO COMPASSO ESQ. 12/20/13 NT;F3P5
230640;FALSO COMPASSO DTº 12/20/13 NT;F3P5
230694;INFOCLIP PRETO (LISO);
230695;INFOCLIP BRANCO UNICOLOR;
230696;INFOCLIP BRANCO (LISO);
230697;INFOCLIP COM LOGOTIPO;
230712;BITOLA PARA DOBRADIÇA ARO E5;CACIFO P2
230727;BITOLA PARA DOB.ARO/SUPORTE COMPASSO 3/100;CACIFO P2
230728;BITOLA PARA  DOB. FOLHA C101 20MM;A2 CX14
230729;BITOLA PARA DOB.ARO/SUPORTE COMPASSO 6/130;CACIFO P2
230730;BITOLA PARA DOB. FOLHA 6/130;CACIFO P2
230758;REGUA PARA MAQUINA DE CORTE FERRAGEM C/ESCALA LARGA ESQ.;A2.P5
230759;REGUA PARA MAQUINA DE CORTE FERRAGEM C/ESCALA LARGA DIR.;A2.P5
230760;PEDAL PARA MAQUINA DE CORTE DE FERRAGEM;ESTANTE P2
230761;PEÇA PARA ACCIONAR MAQUINA DE CORTE DE FERRAGEM;
230764;CHAVE AFINAÇÃO ROTO A/E 4/2.5;CACIFO P2
230765;LAMINA PARA MANETE VERMELHA (AFINAÇAO);
230766;CHAVE AFINAÇAO;
231262;PASSADOR 2ª FOLHA CANAL 7/8 ESQº;
231263;PASSADOR 2ª FOLHA CANAL 7/8 DTº;
231279;CALHA DE FECHO PARA CANAL LISO (18MM);
231285;ELEMENTO DE FECHO EUROTO 18 7/8;
231366;CAPA PARA COMPASSO REDONDO BRONZE;A2 CX12
231665;CAPA DOB.INF.FOLHA BRONZE ESQ.;
231666;CAPA DOB.INF.FOLHA BRONZE DTª;
231674;CAPA DOB.INF.FOLHA CASTANHA DTª;
231680;CAPA DOB.INF. ARO CASTANHA DTª;
231699;ROSETA PARA MANETE ROTOLINE AMOVIVEL TITAN;
2326SFS;DOB.170/15 MACHO RAL 9010 BR.;DS2P4
233408;CREMONA 2ª FOLHA C.FIXA 431-600 NT;BS3P1
233409;CREMONA 2ª FOLHA C.FIXA 601-800 NT;BS3P1
233410;CREMONA 2ª FOLHA C.FIXA 801-1000 NT;BS3P1
233411;CREMONA 2ª FOLHA C.FIXA 1001-1200 NT;BS3P1
233412;CREMONA 2ª FOLHA C.FIXA 1200-1400 NT;BS1P2
233413;CREMONA 2ª FOLHA C.FIXA 1401-1600 NT;BS1P2
233418;CREMONA 2ª FOLHA C.V. 370-620 NT;BS1P1
233419;CREMONA 2ª FOLHA C.V. 621-800 NT;BS1P1
233420;CREMONA 2ª FOLHA C.V. 801-1200 NT;BS1P1
233569;CALÇO PLASTICO 1,5 P/ DOBRADIÇA PORTA HTB108 PRETO;
238671;CREMONE ROTOLINE 1G C/LOGOTIPO  R01.1;F1P4
238680;CREMONE ROTOLINE 1G - BRUTO;F1P4
238692;CREMONE ROTOLINE C/CHAVE 1G C/LOGOTIPO  R01.1;A2 CX16
